day,user_id,month_day,month,week_day,days_offline,online_days,avg_online,offline_days,avg_ofline,avg_submits_14d,success_rate_14d,solved_total,avg_level_task,max_level_task_solved,day_score_14,total_score,target_14d
22/06/22,785,0.22,0.6,0.3,0,1,1,0,0,0.6428571428571429,0.2222222222222222,2,1.5555555555555556,1,1.940000057220459,1.940000057220459,0
23/06/22,785,0.23,0.6,0.4,1,1,0.5,1,0.5,0.6428571428571429,0.2222222222222222,2,0,0,1.940000057220459,1.940000057220459,0
24/06/22,785,0.24,0.6,0.5,2,1,0.3333333333333333,2,0.6666666666666666,0.6428571428571429,0.2222222222222222,2,0,0,1.940000057220459,1.940000057220459,0
25/06/22,785,0.25,0.6,0.6,3,1,0.25,3,0.75,0.6428571428571429,0.2222222222222222,2,0,0,1.940000057220459,1.940000057220459,0
26/06/22,785,0.26,0.6,0.7,4,1,0.2,4,0.8,0.6428571428571429,0.2222222222222222,2,0,0,1.940000057220459,1.940000057220459,0
27/06/22,785,0.27,0.6,0.1,5,1,0.16666666666666666,5,0.8333333333333334,0.6428571428571429,0.2222222222222222,2,0,0,1.940000057220459,1.940000057220459,0
28/06/22,785,0.28,0.6,0.2,0,2,0.2857142857142857,5,0.7142857142857143,1,0.14285714285714285,2,2.6,0,1.940000057220459,1.940000057220459,0
29/06/22,785,0.29,0.6,0.3,0,3,0.375,5,0.625,1.3571428571428572,0.21052631578947367,4,2.4,3,3.540000081062317,3.540000081062317,0
30/06/22,785,0.3,0.6,0.4,1,3,0.3333333333333333,6,0.6666666666666666,1.3571428571428572,0.21052631578947367,4,0,0,3.540000081062317,3.540000081062317,0
01/07/22,785,0.01,0.7,0.5,2,3,0.3,7,0.7,1.3571428571428572,0.21052631578947367,4,0,0,3.540000081062317,3.540000081062317,0
02/07/22,785,0.02,0.7,0.6,3,3,0.2727272727272727,8,0.7272727272727273,1.3571428571428572,0.21052631578947367,4,0,0,3.540000081062317,3.540000081062317,0
03/07/22,785,0.03,0.7,0.7,4,3,0.25,9,0.75,1.3571428571428572,0.21052631578947367,4,0,0,3.540000081062317,3.540000081062317,0
04/07/22,785,0.04,0.7,0.1,5,3,0.23076923076923078,10,0.7692307692307693,1.3571428571428572,0.21052631578947367,4,0,0,3.540000081062317,3.540000081062317,0
05/07/22,785,0.05,0.7,0.2,6,3,0.21428571428571427,11,0.7857142857142857,1.3571428571428572,0.21052631578947367,4,0,0,3.540000081062317,3.540000081062317,0
06/07/22,785,0.06,0.7,0.3,7,3,0.2,12,0.8,0.7142857142857143,0.2,4,0,0,1.600000023841858,3.540000081062317,0
07/07/22,785,0.07,0.7,0.4,8,3,0.1875,13,0.8125,0.7142857142857143,0.2,4,0,0,1.600000023841858,3.540000081062317,0
08/07/22,785,0.08,0.7,0.5,9,3,0.17647058823529413,14,0.8235294117647058,0.7142857142857143,0.2,4,0,0,1.600000023841858,3.540000081062317,0
09/07/22,785,0.09,0.7,0.6,0,4,0.2222222222222222,14,0.7777777777777778,0.7857142857142857,0.18181818181818182,4,2,0,1.600000023841858,3.540000081062317,0
